"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","355","getAllProductsTest()","","2026-06-11","failed","2026-06-11","","api.tests.ProductApiTest","api.tests.ProductApiTest","getAllProductsTest"
"Verify successful login with valid credentials","450","successfulLoginTest()","","2026-06-11","passed","2026-06-11","","ui.tests.SuccessfulLoginTest","ui.tests.SuccessfulLoginTest","successfulLoginTest"
"","355","createProductTest()","","2026-06-11","broken","2026-06-11","","api.tests.ProductApiTest","api.tests.ProductApiTest","createProductTest"
"","452","verifyProductsLoaded()","","2026-06-11","passed","2026-06-11","","ui.tests.InventoryPageTest","ui.tests.InventoryPageTest","verifyProductsLoaded"
"","684","verifyProductsAddedToCartTest()","","2026-06-11","passed","2026-06-11","","ui.tests.CartPageTest","ui.tests.CartPageTest","verifyProductsAddedToCartTest"
"","351","getTokenTest()","","2026-06-11","broken","2026-06-11","","api.tests.AuthApiTest","api.tests.AuthApiTest","getTokenTest"
"","362","loginWithInvalidPassword()","","2026-06-11","failed","2026-06-11","","api.tests.AuthApiTest","api.tests.AuthApiTest","loginWithInvalidPassword"
"","344","productNotFoundTest()","","2026-06-11","failed","2026-06-11","","api.tests.ProductApiTest","api.tests.ProductApiTest","productNotFoundTest"
"","353","loginTest()","","2026-06-11","failed","2026-06-11","","api.tests.AuthApiTest","api.tests.AuthApiTest","loginTest"
"","499","removeProductFromCartTest()","","2026-06-11","passed","2026-06-11","","ui.tests.CartPageTest","ui.tests.CartPageTest","removeProductFromCartTest"
"","350","getSingleProductTest()","","2026-06-11","failed","2026-06-11","","api.tests.ProductApiTest","api.tests.ProductApiTest","getSingleProductTest"
"","1360","logoutTest()","","2026-06-11","passed","2026-06-11","","ui.tests.InventoryPageTest","ui.tests.InventoryPageTest","logoutTest"
"","351","updateProductTest()","","2026-06-11","failed","2026-06-11","","api.tests.ProductApiTest","api.tests.ProductApiTest","updateProductTest"
"","372","deleteProductTest()","","2026-06-11","failed","2026-06-11","","api.tests.ProductApiTest","api.tests.ProductApiTest","deleteProductTest"
"","558","addProductToCartTest()","","2026-06-11","failed","2026-06-11","","ui.tests.InventoryPageTest","ui.tests.InventoryPageTest","addProductToCartTest"
